"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/30/2023","AQS","040130019","1","1.2","ppm","14","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/01/2023","AQS","040130019","1","0.3","ppm","3","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/02/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/03/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/04/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/05/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/06/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/07/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/08/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/09/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/10/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/11/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"05/12/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
